epoch,dense_2_acc,dense_2_loss,dense_41_acc,dense_41_loss,dense_4_acc,dense_4_loss,dense_6_acc,dense_6_loss,dense_8_acc,dense_8_loss,loss,val_dense_2_acc,val_dense_2_loss,val_dense_41_acc,val_dense_41_loss,val_dense_4_acc,val_dense_4_loss,val_dense_6_acc,val_dense_6_loss,val_dense_8_acc,val_dense_8_loss,val_loss
0,0.15975171513064396,2.2659758125322,0.2000980071920618,2.1323367352191234,0.18245671351179504,2.2512299584547937,0.18441685724106538,2.2127709709636063,0.165305455772365,2.221226760196904,11.118896631741205,0.20810166799046861,2.0898838253415133,0.3415409054923758,1.889744870240391,0.24583002382843527,2.095328650463186,0.21525019857029387,2.04435602836518,0.21485305798252582,2.034496603171157,10.188526581543792
1,0.2600457366897911,1.9164934286452788,0.35739954264286256,1.710701579714242,0.21185886966017717,2.109669432224148,0.20761189153871284,2.080790289240466,0.2136556681017983,2.049316241436634,9.900858849803049,0.40071485308165394,1.640168546399396,0.5035742652899127,1.3769990352527597,0.24702144559173947,2.0385981687389734,0.23034154091731626,1.9756890295799807,0.24503574266473485,1.9425186565511279,9.00703539177953
2,0.34514864423877856,1.6607894493216433,0.46341065012407784,1.3826688759781027,0.227703364913427,2.0642862399393187,0.2562887945164656,2.0006044094019644,0.24648807580196092,1.9769981322978611,9.11766567685097,0.4447974583239097,1.5182389779352214,0.5710881652104846,1.2072216220276994,0.2891183479069906,1.9495104133751395,0.29348689436060366,1.9243849240379545,0.30262112789110496,1.8756268925852393,8.506604421129294
3,0.39562234565815246,1.5288770761181427,0.5336491342503742,1.192429697638203,0.2463247304997075,2.0086670738542365,0.2886311663049999,1.9047988697190332,0.31378634433191765,1.8235047349973428,8.489234997687952,0.5424940428911835,1.3994445910143227,0.5663224782046106,1.095475919006172,0.28038125496425736,1.9036550006760407,0.37370929308975376,1.7352857476098846,0.33876092136616365,1.687602918047674,7.851787169837497
4,0.43384514865397006,1.4458542228017668,0.5713819013394316,1.071287078547423,0.2793204835215958,1.9487857142136558,0.3342045083500832,1.7725726686946242,0.3627899379336495,1.6777898043209103,7.946046669083613,0.5647339158535383,1.3362562436258347,0.607625099285147,1.0221583793047784,0.31175536139793486,1.876547987163777,0.41183478951548846,1.6277018474907605,0.46068308182279677,1.512995462175207,7.4049102171154795
5,0.45083306110088284,1.3969385514497679,0.6207121855602744,0.9807926103088133,0.3150931068302681,1.8761841605123217,0.37961450506857275,1.6536260650111974,0.4175106174647516,1.5540338933409448,7.490364432062288,0.5476568705795113,1.3182260032397022,0.6052422558058814,0.9979847900871249,0.38919777603637995,1.7962927067440781,0.45591739475774423,1.5380691970691878,0.4980142970729954,1.4013984595337399,7.080344248992096
6,0.47010780786696854,1.3559968475421555,0.6355766089123785,0.9126840764227664,0.32750735054877567,1.8114817547509967,0.403789611277102,1.5663335134452638,0.4472394642079044,1.4492810739874256,7.1238243977877875,0.5321683876565565,1.2676245576810798,0.6294678316123908,0.9560997291535399,0.4173947577915843,1.7578698998883757,0.4841143764892772,1.475482885188011,0.5345512311594935,1.2984564107405563,6.783304793196504
7,0.4846455406729827,1.3266540379042877,0.6587716432538386,0.8563223486825244,0.3498856582864754,1.7403800748446843,0.4291081346014051,1.4980608212795963,0.47549820321130426,1.4004926565463773,6.849363374850284,0.550833995234313,1.2746537424109112,0.6207307387288361,0.9542141298011146,0.4316918188565491,1.6519448347182573,0.4861000794754604,1.4253245877594678,0.5162827641221623,1.2927478828346852,6.626057286978336
8,0.5027768703135584,1.2631158542103411,0.6769029729041505,0.8133854691750939,0.371937275400196,1.700240232632153,0.4529565501275385,1.4216895946604253,0.496079712521987,1.3594754773859337,6.584836257434834,0.5548054010646508,1.2366103821088625,0.6489277204130263,0.9439584944127949,0.44956314540079795,1.6219276918883927,0.49761715647339155,1.377444803762095,0.5075456711675933,1.3099811940651456,6.516612973262433
9,0.5109441358838273,1.2400890499187895,0.6904606337603383,0.7688495276683843,0.3887618425740638,1.6351771059864995,0.4702711531984304,1.376938504453813,0.5076772297024532,1.318184656981587,6.365791245871454,0.5742652898652862,1.2251696895876036,0.6175536139793487,0.9713783014900065,0.4245432882767239,1.5793598086423017,0.482922954725973,1.3419493999246381,0.5333598093725179,1.254417303443618,6.398674913395768
10,0.5161711859259096,1.236752251751553,0.7138190133943156,0.7352752042182791,0.4080365893498857,1.6093251719968609,0.4875857563277391,1.3409068003389346,0.5261352499280635,1.2647706473119038,6.213257014615128,0.5702938840349484,1.2216636684321525,0.6239078633836378,0.9621124403452097,0.4229547260203373,1.564732578844187,0.495234312994126,1.3612749590771458,0.5099285147178731,1.3017685959697054,6.437657452462873
11,0.524991832773345,1.1953986408818746,0.7317869976742211,0.6865955901687264,0.4258412283664823,1.5546205442195544,0.5066971577526268,1.286448766635314,0.5426331263903269,1.2158835542353879,5.964914628003633,0.5607625099758575,1.2041985575313887,0.5969023034154091,1.0212102990192113,0.44598888011088533,1.5215238159000164,0.5202541699761716,1.313265699446438,0.511119936457506,1.2682568279876891,6.354269344338924
12,0.5290754655536114,1.189283115806941,0.7438745508393366,0.6460986952110274,0.44854622672329303,1.5172267015445313,0.5212348905586409,1.2655172830156078,0.567298268549429,1.1647933258491574,5.808644221055667,0.5464654487688642,1.1758664220074417,0.6389992057188245,0.9858260575010248,0.4483717236374938,1.525015592338359,0.5075456711675933,1.307050172443708,0.517474185861795,1.234464265601421,6.253826348908465
13,0.5321790264716767,1.158211482190416,0.7598823913558953,0.6186442841738901,0.4560601110845483,1.48137364088418,0.5307089186735069,1.2280686287582407,0.5875530872069243,1.131251684690916,5.6430553956890135,0.5746624305003971,1.166885488652539,0.6481334392611615,0.9610664790305379,0.48014297065893935,1.4911149237438077,0.5166799046862589,1.3098324754107462,0.520651310587611,1.2362926819667255,6.190608498025641
14,0.5460633779615797,1.1498193434156339,0.780300555393533,0.5755947584207834,0.4639006860892549,1.4647757017078917,0.5334857889968014,1.2088458518193697,0.5931068278145689,1.1025515389341187,5.5269715842839275,0.5710881652104846,1.1641069812089133,0.6322478157267672,0.9752181091414641,0.5023828435739512,1.426234092714296,0.5150913423351866,1.2953442924547234,0.534154090548054,1.2201922510804593,6.106441820112839
15,0.5426331264097992,1.140225101903699,0.7850375694022853,0.550645131158969,0.4872590656648154,1.4260430431802147,0.556517477958119,1.1706060870961013,0.6014374387649802,1.0678000424041425,5.380609272586407,0.5675138998732291,1.1677378777287326,0.6401906274939644,1.0180760557993336,0.47776012713233096,1.4765674089798386,0.5357426528991263,1.2712397852807504,0.5142970611596506,1.226621624398932,6.185465146095815
