epoch,dense_10_acc,dense_10_loss,dense_2_acc,dense_2_loss,dense_4_acc,dense_4_loss,loss,val_dense_10_acc,val_dense_10_loss,val_dense_2_acc,val_dense_2_loss,val_dense_4_acc,val_dense_4_loss,val_loss
0,0.20107807906399908,2.128627533696127,0.19323750408850088,2.193235913276361,0.174126102585724,2.224574519465539,6.554227877114965,0.255758538522637,1.8506982505463532,0.40190627484495817,1.8739585482572354,0.2915011914217633,2.104398573647424,5.836691430298652
1,0.39072198629846605,1.5885888899280058,0.3193400849419963,1.8264279687611038,0.24305782424287833,2.0128366630165377,5.435323017323496,0.5051628276883278,1.3108346362829777,0.4503574265526627,1.509618555865087,0.35544082606425825,1.783279632745611,4.611047042183122
2,0.49787651098308044,1.2797112645218085,0.39578569098961425,1.5720047896611695,0.33338778179013545,1.7811107204771244,4.640045625872956,0.5595710881652105,1.212346505512786,0.5464654487806999,1.3817752906497838,0.3991262906595674,1.5979475352951606,4.199206953298677
3,0.559131002901271,1.0968117974272587,0.44217575959464533,1.424824692734859,0.3941522378697188,1.595715406166109,4.124460796404804,0.5639396346306592,1.1363797578383665,0.5131056394436891,1.2898003443353605,0.5051628276409849,1.3992114255502168,3.8324666013785826
4,0.6006207121855602,0.9986876122743543,0.4859523032078436,1.3184368914928517,0.4501796798431885,1.4530236800485714,3.7772008250329043,0.5980937251787133,1.0236965557996767,0.5814138204924544,1.1797635269316535,0.5476568705795113,1.2691836218875585,3.479680555599658
5,0.6368833714667117,0.9273163029198084,0.5021234890656002,1.2470147066044674,0.4661875204376363,1.3798650387493234,3.561228402881442,0.6096108022713301,0.9993191426287008,0.5770452740743484,1.162763030828229,0.5500397140824482,1.2709820449020865,3.440087436020043
6,0.6613851682846159,0.8525990549936204,0.5318523358379614,1.2003892698306657,0.508983992159425,1.2898084634427578,3.3498319489081205,0.6187450357899957,0.9973891572856638,0.5881652105318543,1.1138244049713857,0.5365369341220053,1.2414842582203454,3.359736732114772
7,0.680823260352955,0.8037372897630111,0.5409996733483206,1.1552367563615318,0.5274420124239798,1.2521085966571956,3.218127398738593,0.6231135822554446,1.0005137341731687,0.5877680699440863,1.0983362428435643,0.5639396346306592,1.2375610156415284,3.3434523901738658
8,0.7063051290233242,0.7561794387597113,0.5628879451354475,1.0998700454281032,0.5545573342045084,1.1827324452021666,3.04583340156939,0.62668784750985,1.0091299272132734,0.5873709293208111,1.1012787015500571,0.5548054011593365,1.228612238542725,3.3460861519274965
9,0.7174126102386134,0.7119113065494661,0.5798758575434156,1.0589882449089643,0.5628879451159752,1.1421935020105312,2.920168318182999,0.6199364575296286,1.0002089497397304,0.5941223193483754,1.0623526123424103,0.5687053216838761,1.1973621289913763,3.267005495271387
10,0.736524011799807,0.6642928607165521,0.5896765763212053,1.0351716873109127,0.5852662528390706,1.0909092651983758,2.7974659774241903,0.6278792692613185,0.9780334594635096,0.577442414638445,1.0614598357933112,0.5528196982204961,1.200462615991794,3.2470660120651207
11,0.7440378961318539,0.6576433519606729,0.5962103888007871,1.0149627617471788,0.597353805926297,1.0788600906286703,2.758588616577717,0.6346306592533757,0.9526060511897347,0.5996822875771284,1.04408504983752,0.5563939634630659,1.17995376838778,3.183779635630116
12,0.7673962757463589,0.6052503376683157,0.6140150277687031,0.965055656916018,0.6174452793399557,1.0122379739469112,2.589698573414386,0.6262907069339176,0.9764676292362527,0.5818109610802223,1.059874678623875,0.5762509928514694,1.1607666323590222,3.204278526654596
13,0.7874877490626562,0.563807778598358,0.6344331918063408,0.9463204767376097,0.6324730480040495,0.9934501545719756,2.510770134893129,0.6441620333598094,0.9954904140971121,0.6163621922633873,1.0113054400545156,0.5897537728355838,1.1112849585492994,3.1252927398568016
14,0.7958183599741231,0.5356881977665935,0.6466840901860845,0.9123832494828562,0.6398235870825235,0.9498077895040802,2.4051064022301616,0.6560762509928515,0.9803265195822224,0.6119936457624314,1.0293206102181465,0.5925337569499602,1.1279419853727055,3.144832316611474
15,0.8056190787129681,0.5099961719883692,0.6520744854720034,0.9011356418174064,0.6607317870171855,0.9245675573626284,2.342961899714702,0.6310563939752988,0.9740978024420613,0.6080222398965864,1.0169686683830144,0.5857823669815745,1.1366667829637398,3.135011448663222
16,0.8193400849006177,0.4950077804776042,0.6631819667165009,0.870319658188756,0.6628552760535773,0.8990344745354962,2.271663527985641,0.6286735504486903,0.9843831373596116,0.6008737092930898,1.02541760040996,0.5436854646544876,1.1757682528734397,3.1928900683844628
