epoch,dense_10_acc,dense_10_loss,dense_2_acc,dense_2_loss,dense_4_acc,dense_4_loss,dense_6_acc,dense_6_loss,loss,val_dense_10_acc,val_dense_10_loss,val_dense_2_acc,val_dense_2_loss,val_dense_4_acc,val_dense_4_loss,val_dense_6_acc,val_dense_6_loss,val_loss
0,0.22803005555687836,2.084229896092719,0.2028748775104883,2.179161805882247,0.17853642600457367,2.201381167567894,0.19209408690944213,2.1947394522994377,8.6682033183644,0.35861795077823855,1.6875672277900509,0.40190627483312247,1.787274843837838,0.22478157267672755,2.131391706496974,0.2664813344397177,1.9899872432539063,7.604684405520002
1,0.40983338780124295,1.5135205095790252,0.33551127082652726,1.7676308892280281,0.24191440706138556,2.029165242007261,0.25367526951976477,1.9870557359759615,7.305649987781254,0.5186656076724422,1.2275685062003192,0.5103256552938056,1.4549979692039459,0.3288324066719619,1.8389047638966602,0.35186656077434564,1.7849646842697482,6.314560498577721
2,0.5276053577651778,1.2052045813264196,0.40754655342365315,1.5507039234397537,0.30921267560107846,1.8534022732444622,0.32816073179673383,1.7936054246170932,6.41094143723242,0.5691024622953156,1.1255733202477123,0.5277998411674363,1.4023270028938464,0.37410643367752183,1.6776616652869725,0.4253375695469457,1.5838737982999151,5.797374384852039
3,0.5855929435019943,1.04148745928197,0.4514864423780494,1.4364452565740582,0.34269846456380343,1.7500754352178265,0.3869650441227065,1.6314038446003298,5.867301937023513,0.5802223986818072,1.076443159220425,0.5067513900394001,1.35151269466182,0.38244638603248704,1.6090453338585173,0.4674344718266897,1.4808438664111379,5.525688976972608
4,0.622508984031104,0.9287429159663542,0.47451813132963083,1.3588964865122772,0.3841881738383565,1.6334631676301579,0.42943482523025234,1.4951282955002683,5.424039779633176,0.6119936457742672,1.0116304881912173,0.5536139793486894,1.2642135993415538,0.46386020656044846,1.4854244124425413,0.5043685464654488,1.3533995039790656,5.122459031363344
5,0.6541979745376036,0.8809844024116718,0.4964064031167577,1.3006268708934117,0.4032995753216611,1.585105695353735,0.4678209735185872,1.4066710620485696,5.181165380829964,0.6183478951548849,0.9913317084407125,0.5508339952816558,1.2602950628074603,0.4312946783161239,1.563871986246753,0.5401111993645751,1.3353662435927023,5.1586373926061215
6,0.6834367853447878,0.7961260087542268,0.5112708265662232,1.2680010281525107,0.4243711205585764,1.5168944817281012,0.4947729499968623,1.3432473600864878,4.932052176592982,0.6155679110878511,0.9907788492508405,0.5683081811434508,1.2318785690522742,0.48252581413820494,1.4315238585066852,0.5103256553293126,1.3431311375664945,5.005095994311538
7,0.7071218556416887,0.7501776342842167,0.5302188827570106,1.2228682874581738,0.4457693564584153,1.458499058754917,0.5132309702711532,1.286136573687444,4.7254912461458725,0.6064336775691855,0.9966588025058992,0.5365369341220053,1.2351842486640592,0.5138999205718825,1.392387979839225,0.5591739476247852,1.2586508921160406,4.890701019356798
8,0.7211695524533174,0.6980465520873096,0.5393662201700082,1.1908084019770306,0.4689643907317224,1.405926229594697,0.5418163998790599,1.221898480242119,4.524510489067818,0.6227164416321693,0.9844615272615428,0.5413026211752221,1.2343902301939826,0.513105639408182,1.3598548789361433,0.5409054805637826,1.2594020065568192,4.845954971525573
9,0.738974191460178,0.6597509952940531,0.5592943482716775,1.1559166894633566,0.49019928128062723,1.3555338739842537,0.5467167592484824,1.190704840415835,4.369767363653273,0.6191421763540924,1.006529007618914,0.5623510723269298,1.1656050779594136,0.49285146944384617,1.3474509265330028,0.562748212867355,1.2155132887853906,4.74298293217484
