epoch,dense_10_acc,dense_10_loss,dense_12_acc,dense_12_loss,dense_14_acc,dense_14_loss,dense_16_acc,dense_16_loss,dense_18_acc,dense_18_loss,dense_2_acc,dense_2_loss,dense_42_acc,dense_42_loss,dense_4_acc,dense_4_loss,dense_6_acc,dense_6_loss,dense_8_acc,dense_8_loss,loss,val_dense_10_acc,val_dense_10_loss,val_dense_12_acc,val_dense_12_loss,val_dense_14_acc,val_dense_14_loss,val_dense_16_acc,val_dense_16_loss,val_dense_18_acc,val_dense_18_loss,val_dense_2_acc,val_dense_2_loss,val_dense_42_acc,val_dense_42_loss,val_dense_4_acc,val_dense_4_loss,val_dense_6_acc,val_dense_6_loss,val_dense_8_acc,val_dense_8_loss,val_loss
0,0.175922901017609,2.2517474776426587,0.18588696504897131,2.216912754296244,0.1809866056868509,2.2313380141695975,0.18605031036096084,2.2343794226218034,0.1994446259489717,2.2058037695094908,0.1885004900456721,2.179278411066092,0.24877491019902295,2.0270120364238684,0.1847435478650445,2.257388970774788,0.16922574322603762,2.232047390369215,0.15615811826687395,2.2666776501949375,22.14648701699876,0.23669579030976967,2.10691962476947,0.19142176330420968,2.0674115810439737,0.2505957108816521,2.052393576566713,0.22676727561556792,2.055944723586794,0.2648927720413026,1.9811215506743778,0.3216838761039723,1.8577979015300348,0.41104050835178807,1.5762682103088113,0.2283558379666402,2.1190936396858633,0.23828435266084194,2.0938870471275637,0.22081016679904686,2.103473790777023,20.057283057590816
1,0.22329304149457732,2.107476870634321,0.22018948056677595,2.0771259501337886,0.23162365240361013,2.0693531394277436,0.21904606339745333,2.091191811835754,0.2548186867231639,2.003511438101812,0.2992486115745842,1.7927889659567542,0.39235543937941697,1.5627494763798357,0.23685070240431383,2.083465214610606,0.19928128063698214,2.127555013131332,0.20744854623159137,2.1283242711051935,20.08567610039348,0.24066719618745036,2.0066771658760296,0.25734710087370927,1.9826744318576537,0.29507545671167595,1.9801145482385225,0.24741858619134327,2.015312276253916,0.361397934892615,1.8557804297416147,0.41977760131819275,1.5542140071405315,0.48927720417760495,1.4080171470513316,0.2998411437885642,1.9797184923700721,0.2549642573471009,2.0659722437263954,0.22517871326449562,2.0315022648469716,18.921357249531887
2,0.22950016335018006,2.0571042459722206,0.24616138518771796,2.02972419937231,0.2613524991832734,1.9735741159254645,0.24109768051604202,2.012527276705543,0.311172819344953,1.8540935252313324,0.3413917020776232,1.6417149453332944,0.4622672329498872,1.3671746990019416,0.2540019601242716,2.004110063652866,0.22345638682117108,2.099597982899187,0.2263966024369829,2.07748999567602,19.15782283794175,0.2529785544082605,1.9588322698170462,0.2819698173153296,1.9150702002694249,0.34233518666791196,1.875892323856793,0.2390786338482138,1.9693550159289215,0.3665607625335999,1.6447150991301958,0.48212867355043687,1.4693115000643362,0.5202541699761716,1.2435480283308447,0.2930897537846713,1.945296693170137,0.2521842732327244,2.0173676627509836,0.2505957108816521,2.0159207625082316,18.095365827286216
3,0.24191440707598977,2.028354050286725,0.2776870303870961,1.9294318807004363,0.2972884678209735,1.8751784996517498,0.25040836328971,1.9644054293593562,0.3644233910486769,1.6857482766217167,0.39055864097674037,1.5367070106617262,0.5349558967462905,1.1734358307116564,0.2785037569470438,1.9340223030730892,0.23799411958824065,2.061558069103257,0.2332571055308077,2.0552920552882754,18.28365104348782,0.2656870532168388,1.9485737913842236,0.2978554408260524,1.8212529406649807,0.3665607625335999,1.7315839882215116,0.2561556791222408,1.9298791828564559,0.3800635424940429,1.5326606599559285,0.5182684670373312,1.4077122379996836,0.5540111199838004,1.1680763475567315,0.3177124702617988,1.8700478333533046,0.28157267672756153,1.9947584679999741,0.2521842732327244,1.9896356919343932,17.433171809335093
4,0.25318523358866424,1.9877025741488665,0.31819666775563543,1.8079546560301807,0.33502123491003094,1.7726417334396751,0.2655994773144739,1.9193217732555061,0.3851682456810854,1.6169256543225223,0.4171839268310364,1.48007312127867,0.5895132309897434,1.070927282557383,0.2972884678209735,1.8867700409164851,0.24616138518771796,2.03919751540542,0.2453446586180341,2.026439301837546,17.64648977738897,0.26250992853836563,1.9389369945094357,0.346703733121525,1.6694526159166816,0.3903891977760127,1.6630927190788214,0.3284352660960295,1.8478151528583433,0.4265289913102499,1.481035650013173,0.5007942811755361,1.405341735948543,0.586179507593014,1.1161829450473224,0.3784749801429706,1.8328060323610678,0.3177124702144559,1.9861933355581392,0.2871326449681503,1.9635730751740543,16.942548185231857
5,0.2685396929132475,1.938618020815072,0.35478601764616174,1.7052867505255185,0.3655668082374718,1.6893611686052898,0.32146357399786035,1.8078601232582898,0.410813459658576,1.544248869161285,0.4390721986327675,1.4201443733946244,0.6190787324793235,0.9828708859605363,0.3136229990394004,1.8485149968024837,0.2502450179679843,2.0055402477984723,0.25138843515434517,2.0058142134115924,16.985984921883773,0.33399523426560396,1.8868241276979636,0.4106433677521843,1.5918350482952794,0.4499602859648946,1.627608763499332,0.35464654490055786,1.7232817704001526,0.4209690230814969,1.4470120852101502,0.568308181096108,1.3326948141654016,0.6330420969496463,1.0201878796691835,0.3903891977760127,1.808029752292739,0.2950754567590188,1.940982160821995,0.29586973788721205,1.9266429473901192,16.34249856720092
6,0.29565501471081423,1.8816695865639204,0.38745508003920287,1.6408916529936168,0.3939888925577293,1.6087511075317995,0.35739954263312645,1.6823563606900274,0.4196341065011434,1.5024828574346663,0.45001633453119894,1.4002513570047133,0.650604377634889,0.909566590401208,0.32685396929108135,1.8286556732572787,0.26870303823253916,1.9704848504931036,0.264129369506568,1.9840155117887954,16.44618118015702,0.4249404289355062,1.752547900102932,0.44162033362176517,1.5109030795154164,0.4630659253612409,1.517472125406394,0.3959491660047657,1.6020253180889406,0.40587768074631025,1.4358155807395887,0.5798252580940392,1.3569874589977233,0.6211278793166042,1.0077958890282037,0.3868149324979358,1.7695079280612391,0.336775218439159,1.8930265158296484,0.28474980142970613,1.8935850609664977,15.77637139002987
7,0.3278340411630186,1.8160398747943578,0.41048676903946496,1.5655572233306003,0.4070565174876845,1.5573591053855844,0.3805945769551142,1.6132302052520608,0.4389088533353821,1.4570322872493362,0.468964390702514,1.3532230633997675,0.6666122182293368,0.8617187292503399,0.33175432866050386,1.7918140977007702,0.2798105194575644,1.9228117318762474,0.28716105849709395,1.9246821046771274,15.899953114055645,0.39515488482922956,1.7102940330626568,0.46584590947561744,1.4574759598285836,0.4372517871563164,1.5261785560794252,0.3947577442651329,1.5480504019853139,0.4459888800635425,1.3680882701994976,0.5456711676169994,1.3151768717716572,0.6346306593007185,0.928877241370979,0.42613185068697473,1.740102750451154,0.37847498019031345,1.8769608773912485,0.3526608419380461,1.8646677367927726,15.372072225908518
8,0.35168245672322845,1.7505737585555647,0.43155831428124836,1.5047835879994156,0.4336818033371124,1.4892611831514246,0.40705651748281646,1.5650773605697492,0.46030708918654034,1.403819113843233,0.47174126104528086,1.3276731499812449,0.6963410649919619,0.7773892259488734,0.3492322770385172,1.7656945853558914,0.3064358053118604,1.877168688264714,0.31051943809212673,1.881278061002191,15.378697400621167,0.44042891188213235,1.6311096333624164,0.48093725181080405,1.439123000295698,0.46584590947561744,1.4813087120048578,0.426131850675139,1.5363985515947471,0.46783161240262205,1.362596001579612,0.5659253376168425,1.298498073688947,0.6473391581092968,0.9756381693765864,0.4142176330539326,1.7447801171265678,0.3987291501428136,1.8019135940444195,0.3562351072516301,1.8023874618592388,15.109539731899076
9,0.36458673637040256,1.7093335937651417,0.447892845485071,1.4677966998628993,0.4642273766840256,1.4283120343981908,0.4142437112152245,1.5260159787069307,0.4786017641318035,1.3752511697281267,0.4838288141325072,1.3015651258523462,0.7046716759618455,0.755695924810318,0.35674616139003634,1.7272650522564175,0.33763475990186365,1.8246068744946056,0.32783404116788667,1.8220077777991532,14.973456747895632,0.4686258935663225,1.5485255021344488,0.4741858618187469,1.4298273059846485,0.4872915012150932,1.442771739766558,0.4340746624305004,1.5101592903387178,0.4706115965525057,1.3304116783679905,0.5182684670846741,1.3458717568134675,0.631056393963463,0.9617443182479777,0.41064336776402,1.690551651930222,0.42176330423336167,1.7095469356624733,0.42295472597299444,1.707023333423757,14.711894917052543
